Word	Part-Of-Speech	Weight	Frequency
联名	vd	1.60	1
合成	vn	1.60	1
保密	vn	1.60	1
表扬	v	1.60	1
崩溃	vi	1.60	1
下一代	n	1.60	1
皮肤	n	1.60	1
收拾	v	1.60	1
人流	n	1.60	1
世界大战	nl	1.60	1
鲜血	n	1.60	1
车子	n	1.60	1
原子弹	n	1.60	1
核电站	n	1.60	1
副教授	n	1.60	1
错综复杂	vl	1.60	2
施加	v	1.60	1
本事	n	1.60	1
浑身	n	1.60	1
生死	n	1.60	1
名声	n	1.60	1
脑袋	n	1.60	1
学识	n	1.60	1
事关	v	1.60	1
军国主义	n	1.60	1
看似	v	1.60	1
不明	v	1.60	1
杀人	vi	1.60	1
想不到	vl	1.60	1
繁育	v	1.60	1
标本	n	1.60	1
报复	v	1.60	1
压迫	v	1.60	1
隐藏	v	1.60	1
春雨	n	1.60	1
聚焦	vi	1.60	1
掩盖	v	1.60	1
开启	v	1.60	1
请客	vi	1.60	1
估量	v	1.60	1
扭曲	vi	1.60	1
容忍	v	1.60	1
动植物	n	1.60	1
标签	n	1.60	1
尸体	n	1.60	1
来不及	v	1.60	1
果实	n	1.60	1
报到	vi	1.60	1
创举	n	1.60	1
珍爱	v	1.60	1
好坏	n	1.60	1
归结	vi	1.60	1
共同体	n	1.60	1
隔离	vn	1.60	1
松懈	v	1.60	1
世世代代	nl	1.60	1
照亮	v	1.60	1
折磨	vn	1.60	1
一刀切	vi	1.60	1
繁衍	v	1.60	1
驱使	vn	1.60	1
翅膀	n	1.60	1
病症	n	1.60	1
成片	v	1.60	1
明知	v	1.60	1
摧毁	v	1.60	1
做成	v	1.60	1
做事	vi	1.60	1
怀孕	vi	1.60	1
抗癌	vn	1.60	2
倒退	vn	1.60	1
守法	vi	1.60	1
不服	v	1.60	1
急功近利	vl	1.60	1
后悔	v	1.60	1
操纵	v	1.60	1
物理学家	n	1.60	1
转发	v	1.60	1
回头	vi	1.60	1
出事	vi	1.60	2
输血	vi	1.60	1
严肃性	n	1.60	1
灭绝	vi	1.60	1
开战	vi	1.60	1
真实性	n	1.60	1
变质	vi	1.60	1
治愈	v	1.60	1
良知	n	1.60	1
驱逐	v	1.60	1
反面	n	1.60	1
弱者	n	1.60	1
篡改	v	1.60	1
等同	vi	1.60	1
认知	vn	1.60	1
极限	n	1.60	1
身为	v	1.60	1
先河	n	1.60	1
改名	vi	1.60	1
关爱	v	1.60	1
国安	nz	1.60	1
沦为	v	1.60	1
出卖	v	1.60	1
质疑	vi	1.60	1
花儿	n	1.60	1
殊不知	v	1.60	1
伦理学	n	1.60	1
孕妇	n	1.60	1
旗号	n	1.60	1
好手	n	1.60	1
性别	n	1.60	1
印证	v	1.60	1
利弊	n	1.60	1
教会	n	1.60	1
反感	v	1.60	1
传遍	v	1.60	1
胎儿	n	1.60	1
哲学家	n	1.60	1
女婴	n	1.60	1
代码	n	1.60	2
觉醒	vi	1.60	1
编码	n	1.60	1
开玩笑	vi	1.60	1
喜怒哀乐	nl	1.60	1
笑话	n	1.60	1
抗击	v	1.60	1
侵袭	vn	1.60	1
接下来	vl	1.60	1
落叶	n	1.60	1
序列	n	1.60	1
狮子	n	1.60	1
无所谓	vl	1.60	1
性情	n	1.60	1
地狱	n	1.60	1
不足以	v	1.60	1
天赋	n	1.60	1
免不了	v	1.60	1
爆出	v	1.60	1
口子	n	1.60	1
细菌	n	1.60	1
铁人	n	1.60	1
坏人	n	1.60	1
点点	v	1.60	1
万物	n	1.60	1
死神	n	1.60	1
凡事	n	1.60	1
网页	n	1.60	2
试试	v	1.60	1
绝症	n	1.60	1
改动	v	1.60	2
副业	n	1.60	1
知晓	v	1.60	1
原地	n	1.60	1
硬化	vi	1.60	1
制衡	vn	1.60	1
字眼	n	1.60	1
coordinator	n	1.60	1
翻身	vi	1.60	1
逃脱	v	1.60	1
缠身	v	1.60	1
致癌	vn	1.60	1
冰山	n	1.60	1
突变	vi	1.60	1
夭折	vi	1.60	1
假设	n	1.60	1
掠夺	v	1.60	1
侮辱	v	1.60	1
无需	v	1.60	1
连锁反应	nl	1.60	1
比方	v	1.60	1
严加	vd	1.60	1
字里行间	nl	1.60	1
潜伏	v	1.60	1
下落	n	1.60	1
非议	vn	1.60	1
计时	vi	1.60	1
开刀	vi	1.60	1
嘴巴	n	1.60	1
号角	n	1.60	1
键盘	n	1.60	1
围栏	n	1.60	1
名目	n	1.60	1
智商	n	1.60	1
医学界	n	1.60	1
代谢	vn	1.60	1
密码	n	1.60	1
不在乎	v	1.60	1
自然人	n	1.60	1
一个样	nl	1.60	1
在意	v	1.60	1
进化论	n	1.60	1
育苗	vi	1.60	1
打针	vi	1.60	1
出息	n	1.60	1
严查	v	1.60	1
假药	n	1.60	1
探究	v	1.60	1
固步自封	vl	1.60	1
原谅	v	1.60	1
永生	vi	1.60	1
唯恐	v	1.60	1
人山人海	nl	1.60	1
成风	vi	1.60	1
能动性	n	1.60	1
青铜	n	1.60	1
走弯路	vl	1.60	2
骗人	vi	1.60	1
卵细胞	n	1.60	1
台词	n	1.60	1
实例	n	1.60	1
穿衣	v	1.60	1
胆子	n	1.60	1
有生之年	n	1.60	1
漠视	vn	1.60	1
私欲	n	1.60	1
老子	n	1.60	1
轮回	vi	1.60	1
毁灭性	n	1.60	1
书生	n	1.60	1
明目张胆	nl	1.60	1
资本家	n	1.60	1
生生不息	vl	1.60	1
饥荒	n	1.60	1
夸赞	v	1.60	1
猜想	vn	1.60	1
试验田	n	1.60	1
幌子	n	1.60	1
可知	v	1.60	1
常态	n	1.60	1
死活	n	1.60	1
奇葩	n	1.60	1
联播	vn	1.60	1
哗众取宠	vl	1.60	1
下手	vi	1.60	1
计生委	n	1.60	1
婚嫁	n	1.60	1
给水	vn	1.60	1
得病	vi	1.60	2
螃蟹	n	1.60	1
删除	v	1.60	1
起跑线	n	1.60	1
倒流	vi	1.60	1
编译	v	1.60	1
禁忌	n	1.60	1
真人	n	1.60	1
降生	vi	1.60	1
用处	n	1.60	1
谋杀	vn	1.60	1
祈求	v	1.60	1
明令禁止	vl	1.60	1
岌岌可危	vl	1.60	1
谬误	n	1.60	1
抹黑	vi	1.60	1
辱骂	vn	1.60	1
牺牲品	n	1.60	1
外衣	n	1.60	1
减小	v	1.60	1
破解	v	1.60	1
压垮	v	1.60	1
大义凛然	vl	1.60	1
青霉素	n	1.60	1
长相	n	1.60	1
没事	vi	1.60	1
剪刀	n	1.60	1
白衣天使	n	1.60	1
闹剧	n	1.60	1
免疫力	n	1.60	1
无敌	vi	1.60	1
锤子	n	1.60	1
巅峰	n	1.60	1
衣冠	n	1.60	1
比起	v	1.60	1
不可逾越	vl	1.60	1
异样	n	1.60	1
看样子	v	1.60	1
胡作非为	vl	1.60	1
变性	vn	1.60	1
立足之地	nl	1.60	1
下限	n	1.60	1
指指点点	vd	1.60	1
末日	n	1.60	1
踏步	vi	1.60	1
骨子里	n	1.60	1
公敌	n	1.60	1
一念之差	vl	1.60	2
发抖	vi	1.60	1
试问	v	1.60	1
收起	v	1.60	1
神通	n	1.60	1
沦陷	vi	1.60	1
相依	v	1.60	1
阻断	v	1.60	1
利己	vi	1.60	1
谩骂	v	1.60	1
无所畏惧	vl	1.60	1
下线	n	1.60	1
药都	n	1.60	1
拦路	vn	1.60	1
高压线	n	1.60	1
高谈阔论	vl	1.60	1
嫉妒	v	1.60	1
扭头	vi	1.60	1
外力	n	1.60	1
耍流氓	vl	1.60	1
双刃剑	n	1.60	1
傻子	n	1.60	1
危言耸听	vl	1.60	1
须要	v	1.60	1
宫颈癌	n	1.60	1
后怕	vi	1.60	1
武德	n	1.60	1
有悖	v	1.60	1
投资方	n	1.60	1
自己人	n	1.60	1
药剂	n	1.60	1
发火	vi	1.60	1
沾沾自喜	vl	1.60	1
大餐	n	1.60	1
王者	n	1.60	1
点数	vi	1.60	1
爹妈	n	1.60	1
玩意	n	1.60	1
有底	vi	1.60	1
假装	v	1.60	1
阉割	v	1.60	1
孤陋寡闻	vl	1.60	1
神灯	n	1.60	1
罪人	n	1.60	1
找事	vi	1.60	1
苟同	vi	1.60	1
夸大其词	vl	1.60	1
查查	v	1.60	1
外泄	v	1.60	1
祸福	n	1.60	1
适者生存	vl	1.60	1
患病率	n	1.60	1
出头之日	nl	1.60	1
物竞天择	vl	1.60	2
漏风	vi	1.60	1
天道	n	1.60	1
他妈的	vl	1.60	1
限速	n	1.60	1
极刑	n	1.60	1
相关性	n	1.60	1
胆大包天	vl	1.60	1
驾轻就熟	vl	1.60	1
胡闹	vi	1.60	1
恶行	n	1.60	1
直视	v	1.60	2
卧榻	n	1.60	1
声讨	v	1.60	1
拉丁	nz	1.60	1
活路	n	1.60	1
过街老鼠	nl	1.60	1
光能	n	1.60	1
复仇	vn	1.60	1
本源	n	1.60	1
机枪	n	1.60	1
击破	v	1.60	1
击穿	v	1.60	1
王侯	n	1.60	1
露露	v	1.60	1
骂名	n	1.60	1
做活	vi	1.60	3
妇儿	n	1.60	2
永无止境	vl	1.60	1
吃里扒外	vl	1.60	1
纪元	n	1.60	1
以此类推	vl	1.60	1
封杀	v	1.60	1
遗臭万年	vl	1.60	1
劣根性	n	1.60	1
洋洋自得	vl	1.60	1
千刀万剐	nl	1.60	1
嗅到	v	1.60	1
馍馍	n	1.60	1
鸡皮疙瘩	nl	1.60	1
干掉	v	1.60	1
百无禁忌	vl	1.60	1
严惩不贷	vl	1.60	1
异类	n	1.60	1
一锅粥	nl	1.60	1
挤挤	v	1.60	1
生殖细胞	n	1.60	1
本原	n	1.60	1
博客	nz	1.60	1
余孽	n	1.60	1
蜘蛛	n	1.60	3
伪君子	n	1.60	1
翻译官	n	1.60	1
扯淡	v	1.60	1
噱头	n	1.60	1
新浪	ntz	1.60	1
神经病	n	1.60	1
父本	n	1.60	1
科幻	b	1.60	5
之前	f	1.60	6
甚至	d	1.58	4
天然	b	1.57	5
到底	d	1.52	3
有点	d	1.52	3
大张旗鼓	dl	1.52	3
妖	n	1.51	2
以前	f	1.49	3
非法	b	1.46	4
不断	d	1.40	2
依法	d	1.40	2
就要	d	1.40	2
绝对	d	1.40	2
绝不	d	1.40	2
毕竟	d	1.40	2
人工	d	1.40	2
大概	d	1.40	2
早就	d	1.40	2
果然	d	1.40	2
强行	d	1.40	2
只不过	d	1.40	2
极度	d	1.40	2
偷偷	d	1.40	2
早晚	d	1.40	4
立马	d	1.40	2
暗地里	d	1.40	2
乛	n	1.40	2
不再	d	1.37	3
定	v	1.35	4
潘多拉	nrf	1.34	17
HIV	x	1.33	5
系	v	1.32	4
利	n	1.26	3
牛	n	1.26	3
缺	v	1.26	3
造	v	1.26	3
肥	n	1.26	3
扯	v	1.26	3
棒	ng	1.26	3
哥	n	1.26	3
尼玛	ns	1.26	1
顾	v	1.23	4
瓜	n	1.23	4
富	vg	1.21	5
控	v	1.19	5
跑	v	1.17	2
换	v	1.17	2
线	n	1.17	2
战	ng	1.17	2
官	n	1.17	2
合	v	1.17	2
取	v	1.17	2
冲	v	1.17	2
归	v	1.17	2
毛	nr1	1.17	2
房	n	1.17	2
马	nr1	1.17	2
感	ng	1.17	2
王	n	1.17	2
课	n	1.17	2
率	v	1.17	2
网	n	1.17	2
喜	v	1.17	2
视	vg	1.17	2
踢	v	1.17	2
赚	v	1.17	2
空	v	1.17	2
玩	v	1.17	2
解	v	1.17	2
杀	v	1.17	2
肯	v	1.17	2
依	v	1.17	2
惊	v	1.17	2
狗	n	1.17	2
父	ng	1.17	2
赞	vg	1.17	2
续	v	1.17	2
醉	v	1.17	2
震	ng	1.17	2
惑	vg	1.17	2
汰	vg	1.17	2
屁	n	1.17	2
什	ng	1.17	2
组	n	1.14	3
力	n	1.14	3
蛋	n	1.14	3
碰	v	1.14	3
无数	m	1.14	3
之上	f	1.14	3
人造	b	1.14	3
极	d	1.12	7
部分	m	1.11	4
努力	an	1.08	2
不错	a	1.08	2
慎重	a	1.08	2
和美	a	1.08	2
主要	b	1.05	2
原来	b	1.05	2
一下	mq	1.05	2
科普	b	1.05	2
里面	f	1.05	2
好多	m	1.05	2
满满	z	1.05	2
负	v	1.04	6
假	a	1.03	8
身上	s	1.03	3
千钧一发	bl	1.03	3
